id,area,question,response
1,Content,How useful do you find the AI tools you learned about?,"Very helpful, especially the test generator."
2,Organisation,What should be changed in the training format?,Shorten the lecture part in favour of computer work.
3,Skills,Which module was the most difficult for you?,Creating advanced image prompts.
4,Application,How do you plan to use AI in your lessons?,To personalise tasks for students with special needs.
5,Trainer,How do you assess the way knowledge was presented?,Very substantive; the trainer answered every question.
6,Atmosphere,Were the working conditions in the room appropriate?,It was too stuffy; the air conditioning did not work properly.
7,Content,How useful do you find the AI tools you learned about?,"The tools are great, but most of them are too expensive."
8,Organisation,What should be changed in the training format?,Provide more time to test applications in groups.
9,Skills,Which module was the most difficult for you?,Hard to say.
10,Application,How do you plan to use AI in your lessons?,I want to show students how AI can support language learning.
11,Trainer,How do you assess the way knowledge was presented?,The trainer spoke a little too fast in the technical part.
12,Atmosphere,Were the working conditions in the room appropriate?,"Yes, the computer workstations were well prepared."
13,Content,How useful do you find the AI tools you learned about?,"Excellent, especially automatic attendance analysis."
14,Organisation,What should be changed in the training format?,It is acceptable.
15,Skills,Which module was the most difficult for you?,Installing browser extensions was problematic.
16,Application,How do you plan to use AI in your lessons?,I will generate reading-comprehension texts.
17,Trainer,How do you assess the way knowledge was presented?,Clearly and with a lot of patience for beginners.
18,Atmosphere,Were the working conditions in the room appropriate?,Small monitors made it difficult to work in two windows at once.
19,Content,How useful do you find the AI tools you learned about?,Moderately useful; many functions repeat across different apps.
20,Organisation,What should be changed in the training format?,Move the training to morning hours; after 15:00 there is no energy left.
21,Skills,Which module was the most difficult for you?,Understanding legal and ethical issues of AI.
22,Application,How do you plan to use AI in your lessons?,Yes.
23,Trainer,How do you assess the way knowledge was presented?,"Great sense of humour, which helped with difficult topics."
24,Atmosphere,Were the working conditions in the room appropriate?,The room was clean and well lit.
25,Content,How useful do you find the AI tools you learned about?,I will use the tools to create multimedia presentations.
26,Organisation,What should be changed in the training format?,Divide the group by level: basic/pro.
27,Skills,Which module was the most difficult for you?,Editing generated images in external programmes.
28,Application,How do you plan to use AI in your lessons?,Not at all for now; I do not trust these outputs.
29,Trainer,How do you assess the way knowledge was presented?,Too many digressions not directly related to the topic.
30,Atmosphere,Were the working conditions in the room appropriate?,Coffee and refreshments were a very nice touch.
31,Content,How useful do you find the AI tools you learned about?,I do not know.
32,Organisation,What should be changed in the training format?,Give more examples of use in classes 1-3.
33,Skills,Which module was the most difficult for you?,Using an English-language interface.
34,Application,How do you plan to use AI in your lessons?,To create quizzes and interactive games.
35,Trainer,How do you assess the way knowledge was presented?,Very professionally; the trainer clearly had a lot of experience.
36,Atmosphere,Were the working conditions in the room appropriate?,The chairs were uncomfortable for such long sitting.
37,Content,How useful do you find the AI tools you learned about?,Helpful for writing reports and documentation.
38,Organisation,What should be changed in the training format?,Nothing.
39,Skills,Which module was the most difficult for you?,Everything was understandable thanks to the trainer’s help.
40,Application,How do you plan to use AI in your lessons?,I want to create a virtual assistant for my students.
