id,obszar,pytanie,odpowiedz
1,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,"Tak, wszędzie jest monitoring i jest ok."
2,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,"Nie do końca, w szatniach przy WF jest słabe światło."
3,Relacje,Jak oceniasz reakcję nauczycieli na konflikty?,"Zależy który nauczyciel, niektórzy udają że nie widzą."
4,Procedury,Czy znasz zasady ewakuacji?,"Tak, mieliśmy próbę w tamtym miesiącu."
5,Relacje,Jak oceniasz reakcję nauczycieli na konflikty?,"Reagują szybko, czuję wsparcie."
6,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,"Schody na drugim piętrze są śliskie, można spaść."
7,Procedury,Czy znasz zasady ewakuacji?,"Coś tam kojarzę, ale nie wiem gdzie jest zbiórka."
8,Relacje,Jak oceniasz reakcję nauczycieli na konflikty?,"Jest dobrze, nikt się nie bije."
9,Bezpieczeństwo cyfrowe,Czy wiesz jak zgłosić hejt w sieci?,Nie mam pojęcia komu to powiedzieć.
10,Bezpieczeństwo cyfrowe,Czy wiesz jak zgłosić hejt w sieci?,"Tak, pedagog nam o tym mówił na lekcji."
11,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,Jest w porządku.
12,Relacje,Jak oceniasz reakcję nauczycieli na konflikty?,Czasami są zbyt surowi za błahe sprawy.
13,Procedury,Czy znasz zasady ewakuacji?,"Wiedza teoretyczna jest, praktyki brak."
14,Bezpieczeństwo cyfrowe,Czy wiesz jak zgłosić hejt w sieci?,"Chyba do wychowawcy, ale nie jestem pewna."
15,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,Przy wejściu głównym jest tłoczno i niebezpiecznie.
16,Relacje,Jak oceniasz reakcję nauczycieli na konflikty?,Nauczyciele pomagają rozwiązywać problemy.
17,Bezpieczeństwo cyfrowe,Czy wiesz jak zgłosić hejt w sieci?,Tak.
18,Procedury,Czy znasz zasady ewakuacji?,"Tak, znam mapę wyjść."
19,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,Boję się starszych uczniów w palarni za szkołą.
20,Relacje,Jak oceniasz reakcję nauczycieli na konflikty?,"Trudno powiedzieć, rzadko widzę konflikty."
21,Bezpieczeństwo cyfrowe,Czy wiesz jak zgłosić hejt w sieci?,"Tak, przez anonimową skrzynkę na stronie."
22,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,Monitoring nie działa w łazienkach (to dobrze).
23,Procedury,Czy znasz zasady ewakuacji?,Nie pamiętam gdzie są klucze do wyjść zapasowych.
24,Relacje,Jak oceniasz reakcję nauczycieli na konflikty?,Często bagatelizują docinki słowne.
25,Bezpieczeństwo cyfrowe,Czy wiesz jak zgłosić hejt w sieci?,"Przecież hejt to norma, po co zgłaszać?"
26,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,Brakuje dyżurów na tyłach boiska.
27,Relacje,Jak oceniasz reakcję nauczycieli na konflikty?,Bardzo profesjonalnie.
28,Procedury,Czy znasz zasady ewakuacji?,"Słyszałem dzwonek, ale nie wiedziałem co robić."
29,Bezpieczeństwo cyfrowe,Czy wiesz jak zgłosić hejt w sieci?,"Blokuję i tyle, nie zgłaszam w szkole."
30,Infrastruktura,Czy czujesz się bezpiecznie na terenie szkoły?,"Ogólnie tak, ale płot jest dziurawy."
