id,obszar,pytanie,odpowiedz
1,Merytoryka,Jak oceniasz przydatność poznanych narzędzi AI?,"Bardzo pomocne, szczególnie generator sprawdzianów."
2,Organizacja,Co warto zmienić w formule szkolenia?,Skrócić część wykładową na rzecz pracy przy komputerze.
3,Kompetencje,Który moduł był dla Ciebie najtrudniejszy?,Tworzenie zaawansowanych promptów graficznych.
4,Zastosowanie,Jak planujesz wykorzystać AI na swoich lekcjach?,Do personalizacji zadań dla uczniów ze specjalnymi potrzebami.
5,Trener,Jak oceniasz sposób przekazywania wiedzy?,"Bardzo merytorycznie, trener odpowiadał na każde pytanie."
6,Atmosfera,Czy warunki pracy w sali były odpowiednie?,"Było zbyt duszno, klimatyzacja nie działała poprawnie."
7,Merytoryka,Jak oceniasz przydatność poznanych narzędzi AI?,"Narzędzia są świetne, ale większość jest zbyt droga."
8,Organizacja,Co warto zmienić w formule szkolenia?,Zapewnić więcej czasu na testowanie aplikacji w grupach.
9,Kompetencje,Który moduł był dla Ciebie najtrudniejszy?,Trudno powiedzieć.
10,Zastosowanie,Jak planujesz wykorzystać AI na swoich lekcjach?,"Chcę pokazać uczniom, jak AI może ich wspierać w nauce języka."
11,Trener,Jak oceniasz sposób przekazywania wiedzy?,Prowadzący mówił trochę za szybko w części technicznej.
12,Atmosfera,Czy warunki pracy w sali były odpowiednie?,"Tak, stanowiska komputerowe były dobrze przygotowane."
13,Merytoryka,Jak oceniasz przydatność poznanych narzędzi AI?,"Rewelacja, szczególnie automatyczna analiza frekwencji."
14,Organizacja,Co warto zmienić w formule szkolenia?,Może być.
15,Kompetencje,Który moduł był dla Ciebie najtrudniejszy?,Instalacja wtyczek do przeglądarki była problematyczna.
16,Zastosowanie,Jak planujesz wykorzystać AI na swoich lekcjach?,Będę generować teksty do czytania ze zrozumieniem.
17,Trener,Jak oceniasz sposób przekazywania wiedzy?,"Jasno, klarownie i z dużą cierpliwością do początkujących."
18,Atmosfera,Czy warunki pracy w sali były odpowiednie?,Małe monitory utrudniały pracę w dwóch oknach jednocześnie.
19,Merytoryka,Jak oceniasz przydatność poznanych narzędzi AI?,"Średnio, wiele funkcji powtarza się w różnych aplikacjach."
20,Organizacja,Co warto zmienić w formule szkolenia?,"Przenieść szkolenie na godziny poranne, po 15:00 brak sił."
21,Kompetencje,Który moduł był dla Ciebie najtrudniejszy?,Zrozumienie kwestii prawnych i etycznych AI.
22,Zastosowanie,Jak planujesz wykorzystać AI na swoich lekcjach?,Tak.
23,Trener,Jak oceniasz sposób przekazywania wiedzy?,"Świetne poczucie humoru, co pomagało w trudnych tematach."
24,Atmosfera,Czy warunki pracy w sali były odpowiednie?,Sala była czysta i dobrze oświetlona.
25,Merytoryka,Jak oceniasz przydatność poznanych narzędzi AI?,Wykorzystam narzędzia do tworzenia prezentacji multimedialnych.
26,Organizacja,Co warto zmienić w formule szkolenia?,Podzielić grupę na stopień zaawansowania (podstawowy/pro).
27,Kompetencje,Który moduł był dla Ciebie najtrudniejszy?,Edycja wygenerowanych obrazów w zewnętrznych programach.
28,Zastosowanie,Jak planujesz wykorzystać AI na swoich lekcjach?,"Na razie w ogóle, nie ufam tym wynikom."
29,Trener,Jak oceniasz sposób przekazywania wiedzy?,Zbyt wiele dygresji nie związanych bezpośrednio z tematem.
30,Atmosfera,Czy warunki pracy w sali były odpowiednie?,Kawa i poczęstunek były bardzo miłym akcentem.
31,Merytoryka,Jak oceniasz przydatność poznanych narzędzi AI?,Nie wiem.
32,Organizacja,Co warto zmienić w formule szkolenia?,Dać więcej przykładów zastosowań w klasach 1-3.
33,Kompetencje,Który moduł był dla Ciebie najtrudniejszy?,Obsługa interfejsu w języku angielskim.
34,Zastosowanie,Jak planujesz wykorzystać AI na swoich lekcjach?,Do tworzenia quizów i gier interaktywnych.
35,Trener,Jak oceniasz sposób przekazywania wiedzy?,"Bardzo profesjonalnie, czuć było duże doświadczenie."
36,Atmosfera,Czy warunki pracy w sali były odpowiednie?,Krzesła były niewygodne przy tak długim siedzeniu.
37,Merytoryka,Jak oceniasz przydatność poznanych narzędzi AI?,Pomocne przy pisaniu sprawozdań i dokumentacji.
38,Organizacja,Co warto zmienić w formule szkolenia?,Brak.
39,Kompetencje,Który moduł był dla Ciebie najtrudniejszy?,Wszystko było zrozumiałe dzięki pomocy trenera.
40,Zastosowanie,Jak planujesz wykorzystać AI na swoich lekcjach?,Chcę stworzyć wirtualnego asystenta dla moich uczniów.
